u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,junction,tunnel
253397939,253397938,0,283708333,True,,,Calle 49,residential,40,137.23,"LINESTRING (-57.9678673 -34.9301773, -57.9668581 -34.9292616)",,
253397941,253397939,0,283708333,True,,,Calle 49,residential,40,32.851,"LINESTRING (-57.9681089 -34.9303965, -57.9678673 -34.9301773)",,
253397941,253397916,0,23409157,True,,,Diagonal 76,residential,40,143.382,"LINESTRING (-57.9681089 -34.9303965, -57.9681984 -34.9315602, -57.9682097 -34.9316833)",,
253397942,253397917,0,270887000,True,2,,Calle 50,secondary,40,137.054,"LINESTRING (-57.9682497 -34.9317199, -57.9692172 -34.9326054, -57.9692528 -34.932638)",,
253397943,7712319997,0,283708333,True,,,Calle 49,residential,40,137.092,"LINESTRING (-57.9699835 -34.9320973, -57.9689737 -34.9311837)",,
253397943,253397917,0,285554838,True,,,Calle 26,residential,40,89.732,"LINESTRING (-57.9699835 -34.9320973, -57.9692528 -34.932638)",,
253397944,253397943,0,283708333,True,,,Calle 49,residential,40,140.456,"LINESTRING (-57.9710165 -34.9330345, -57.9699835 -34.9320973)",,
253397944,253397918,0,285554842,True,,,Calle 27,residential,40,90.126,"LINESTRING (-57.9710165 -34.9330345, -57.9702846 -34.9335794)",,
253397946,639647637,0,23102944,True,,,Calle 49,residential,40,138.017,"LINESTRING (-57.973046 -34.9348926, -57.9720411 -34.9339642)",,
253397946,253397920,0,283708311,True,,,Calle 29,residential,40,89.042,"LINESTRING (-57.973046 -34.9348926, -57.9723224 -34.9354305)",,
253397947,253397946,0,23102944,True,,,Calle 49,residential,40,137.778,"LINESTRING (-57.9740587 -34.9358124, -57.973046 -34.9348926)",,
253397947,253397966,0,460633748,True,,,Calle 30,residential,40,97.0,"LINESTRING (-57.9740587 -34.9358124, -57.9748464 -34.9352259)",,
253397949,253397929,0,270886955,True,,,Calle 14,residential,40,96.99,"LINESTRING (-57.9584216 -34.9203056, -57.9576362 -34.9208939)",,
253397949,253397950,0,285554935,True,,,Calle 48,residential,40,139.26,"LINESTRING (-57.9584216 -34.9203056, -57.959445 -34.9212353)",,
253397950,4756736896,0,285554935,True,,,Calle 48,residential,40,51.138,"LINESTRING (-57.959445 -34.9212353, -57.9598208 -34.9215767)",,
253397950,253397993,0,719084440,True,,,Calle 15,residential,40,111.486,"LINESTRING (-57.959445 -34.9212353, -57.9603527 -34.9205635)",,
253397951,253397931,0,285554800,True,,,Calle 16,residential,40,96.827,"LINESTRING (-57.9604595 -34.9221569, -57.9596746 -34.9227435)",,
253397951,253397952,0,719084439,True,,,Calle 48,residential,40,138.04,"LINESTRING (-57.9604595 -34.9221569, -57.9614739 -34.9230785)",,
253397952,253398079,0,548452205,True,,,Calle 17,residential,40,111.737,"LINESTRING (-57.9614739 -34.9230785, -57.9623818 -34.9224035)",,
253397952,253397953,0,719084439,True,,,Calle 48,residential,40,139.594,"LINESTRING (-57.9614739 -34.9230785, -57.9624997 -34.9240105)",,
253397953,253398080,0,453728754,True,,,Calle 18,residential,40,111.336,"LINESTRING (-57.9624997 -34.9240105, -57.9634051 -34.9233386)",,
253397953,253397954,0,719084439,True,,,Calle 48,residential,40,135.335,"LINESTRING (-57.9624997 -34.9240105, -57.9634042 -34.9248321, -57.9634943 -34.924914)",,
